Имя пользователя,Ссылка,Время,Текст,Хэштеги
ARDinform: новости,@ardinform,21 апр. 2020 г.,Саммит Восточного партнерства отложили - СМИ #саммит #восточное_партнерство #коронавирус,#коронавирус
СТАРХИТ | STARHIT,@Starhit_online,21 апр. 2020 г.,Александра Васильева выписали из Коммунарки #александрвасильев #коронавирус https://starhit.ru/novosti/aleksandra-vasileva-vyipisali-iz-kommunarki-209025/…,#коронавирус
5.ua: новости Украины и мира,@5channel_ru,21 апр. 2020 г.,"В Испании закрыли отделение госпиталя, который построили для лечения больных COVID-19 https://5.ua/ru/myr/v-yspanyy-zakrily-otdelenye-hospytalia-kotorii-postroyly-dlia-lechenyia-bolnikh-covid-19-213121.html…",
Интернет-издание 47news.ru,@47News_ru,21 апр. 2020 г.,Скворцова: Рост числа тяжелых случаев COVID-19  остановился  https://47news.ru/articles/172970/?utm_source=novapress&utm_campaign=tw…,
Говорящие новости,@NSN_fm,21 апр. 2020 г.,Врачи Северной Осетии заявили о нарастающем числе поступлений пациентов с COVID-19 и переполненных реанимациях,
Бен Тавенер,@bentavener_ru,21 апр. 2020 г.,"#Коронавирус: количество смертей от Covid-19 в британских больницах снижается второй день - 596 вчера, 449 сегодня. Правда, иногда данные поступают с задержкой после выходных, но будем надеяться, что действительно идёт на спад. Завтрашние цифры должны это показать.",#коронавирус
Игорь Коротченко,@i_korotchenko,21 апр. 2020 г.,Мишустин разрешил беспошлинный ввоз медицинских товаров для борьбы с COVID-19,
Irinamixnovic,@irinamixnovic,21 апр. 2020 г.,ДляМинздрав разработал рекомендации по погребению умерших пациентов с COVID-19 https://sputnik.by/health/20200420/1044493919/Minzdrav-razrabotal-rekomendatsii-po-pogrebeniyu-umershikh-patsientov-s-COVID-19.html…,
Интерфакс,@interfax_news,21 апр. 2020 г.,В Чили начнут выдавать специальные свидетельства выздоровевшим от COVID-19,
Сергей Иванов,@Steonn_SA,21 апр. 2020 г.,"Кроме того, ранее в информации из официальных источников сообщалось, что в Роспотребнадзоре контрольные тесты осуществляют диагностику не только covid-19, но и всех вирусных возбудителей, которые наиболее широко вызывают осложнения в виде пневмоний",
WemBoMusic,@wembomusic,21 апр. 2020 г.,#коронавирус #кризис #США #Китай,#коронавирус
Мобил Гуру,@mgoo_ru,21 апр. 2020 г.,"""Бэтмен"" Мэтта Ривза, ""Шазам! 2"" и ""Флэш"" сменили дату премьеры из-за COVID-19",
zhaniura,@zhaniura,21 апр. 2020 г.,"Пандемия COVID-19 может подтолкнуть человечество на новый уровень технологий. Ведь те инновации, которые еще совсем недавно казались символом далекого будущего, сейчас оказываются необходимыми, чтобы победить вирус.",
Anti-XBOCT,@AntiXBOCT,21 апр. 2020 г.,Это уже клиника! Да пошли эти новости про #Коронавирус куда подальше! Совсем уже язык без костей!,#коронавирус
ZdravMedInfo,@ZdravMedInfo,21 апр. 2020 г.,NIH разработали новую программу по исследованиям препаратов против COVID-19 http://zdravmedinfo.com/pharmnews.html?article=140967… #новости #фармация,
Oleg Weitman,@oleg_weitman,21 апр. 2020 г.,Коронавирусный паралич,
"Коммерсантъ FM 93,6",@KFM936,21 апр. 2020 г.,"Число больных COVID-19 на промплощадке ""НОВАТЭКа"" под Мурманском за сутки выросло на 9% до 317 человек",
Зануда aka Птаха,@centrflava,21 апр. 2020 г.,Друзья не забывайте о гигиене !!!  ,
UkrTime,@UkrtimeNet,21 апр. 2020 г.,Twitter: Германия и Австралия требуют от КНР рассказать правду о COVID-19 https://ukrtime.net/?p=145418,
Смотрящий за #потери #всрф,@TwiSuppotr,21 апр. 2020 г.,"Учёные нашли причину, по которой COVID-19 протекает тяжелее у людей с ожирением.",
Новости Беларуси,@belnovosti2020,21 апр. 2020 г.,Минздрав в понедельник вернулся к привычному формату общения с гражданами и дал исчерпывающую статистику о выявленных случаях COVID-19 в Беларуси.,
Пятый канал Новости,@5tv,21 апр. 2020 г.,,
Интерфакс,@interfax_news,21 апр. 2020 г.,"Число заболевших COVID-19 в ВС США превысило 5,3 тысяч",
«Коммерсантъ» Казань,@kommersant_kzn,21 апр. 2020 г.,На предприятиях Татарстана обнаружили очаги распространения коронавируса,
Кавказский Узел,@caucasianknot,21 апр. 2020 г.,Жители Чечни и востоковеды сочли оправданным призыв муфтия не пускать женщин на похороны.,
Jenkers News (RUS),@jenkers_ru,21 апр. 2020 г.,В Ульяновской области к ИВЛ подключили зараженного #коронавирус'ом ребенка http://jenke.rs/Ep25Yu,#коронавирус
