Имя пользователя,Ссылка,Время,Текст,Хэштеги
KP.RU - Саратов,@saratovkp,28 мая 2020 г.,Мышиная лихорадка в 2020 году в Саратове пока уступила местных жителей коронавирусу,
Кот Путешественник,@WorldTravelCat,28 мая 2020 г.,101 врач в России погиб от COVID-19 и другие новости о коронавирусе http://dlvr.it/RXSwPP,
Экспресс газета,@ExpressGazeta,28 мая 2020 г.,Почти голая женщина прогулялась в бикини из масок,
Цех,@Zehmedia,28 мая 2020 г.,Из-за пандемии COVID-19 каждый шестой сотрудник в мире до 29 лет остался без работы. Особенно сильно безработица ударила по молодым людям и женщинам.,
Мария Кибальчич,@1kjIKd7Iwgt6RNl,28 мая 2020 г.,"Блеа@ь, певица Наталья Гулькина отдала миллион рублей за лечение своего кота от COVID-19, а потом выяснилось, что он болел обычным кошачьи коронавирусом. Я так понимаю, что она тоже потребует помощи, как деятель культуры.",
партия ШуХер,@party_chuxer,28 мая 2020 г.,"Минздрав решил не включать в статистику случаев COVID-19 тех заболевших, у кого нет жалоб — Meduza https://meduza.io/news/2020/05/27/minzdrav-reshil-ne-vklyuchat-v-statistiku-sluchaev-covid-19-teh-zabolevshih-u-kogo-net-zhalob?utm_source=t.co&utm_medium=share_twitter&utm_campaign=share… через ",
unghan,@unghan2,28 мая 2020 г.,Как вылечиться от COVID-19 и не нахватать штрафов,
Nastyk_ykt,@NastykYkt,28 мая 2020 г.,"- Бэрримор, что это за вой на болотах?",
IBTimes.ru,@IbtimesRUS,28 мая 2020 г.,Минздрав рекомендовал не включать в статистику заболевших COVID-19 при отсутствии жалоб,
Сделано в Германии,@DeHergestelltin,28 мая 2020 г.,"Министерство здравоохранения #германия отдало назад миллионы таблеток от малярии концерну Bayer,которые получили как гуманитарную помощь. Было доказано,что эти медикаменты не помогают от #коронавирус,а наоборот могут провоцировать преждевременную смерть пациента.",#коронавирус
𝕷𝖆𝖓𝖆 𝕾𝖆𝖗𝖆𝖙𝖔𝖛 * Z * * V *,@LanaSaratov,28 мая 2020 г.,Билет в один конец: COVID-19 «обнулит» Латвию?,
jromanova,@jromanova3,28 мая 2020 г.,"Весело выходит, если честно: ",
Анна,@MBAlPF8qRfT2JO6,28 мая 2020 г.,Я оценилa городскую новинку «Более 540 доноров сдали плазму для лечения пациентов с COVID-19» в проекте «Активный гражданин»,
Нижний Новгород,@Online_NN,28 мая 2020 г.,Минздрав решил победить COVID-19 в России статистикой,
ACHTUNG PARTISANEN,@EuropeanFront,28 мая 2020 г.,ВОЗ не рекомендует использование гидроксихлорохина в качестве лекарства от COVID-19 https://achtungpartisanen.ru/voz-ne-rekomenduet-ispolzovanie-gidroksihlorohina-v-kachestve-lekarstva-ot-covid-19/…,
RusNext РусскаяВесна,@rusnextru,28 мая 2020 г.,"Граждан, у которых выявлен коронавирус, но нет жалоб, не стоит включать в официальную статистику по заболеваемости COVID-19. #МинздравРФ #Коронавирус #РусскаяВесна #RusNext",#коронавирус
Новости Крыма,@newsallcrimea,28 мая 2020 г.,Севастопольские ученые считают небольшим риск заражения COVID-19 в море http://dlvr.it/RXSv6N,
Хуёвые Вести:,@nickotin,28 мая 2020 г.,К параду? ,
Stavropolnews.ru,@stavropolnews,28 мая 2020 г.,"27 мая 2020 года в Ставропольском крае зарегистрировано 2158 случаев коронавирусной инфекции COVID-19 - ИИ Ставропольские новости, 27.05.2020 - 20:59 https://stavropolnews.ru/news/obshchestvo-zdorove/27-maya-2020-goda-v-stavropolskom-krae-zaregistrirovano-2158-sluchaev…",
Mini_Olka,@MiniOlka,28 мая 2020 г.,"Интересно когда люди уже поймут, что самоизоляция и маски защищают не от штрафа, а от COVID-19?",
Мир 24,@Mir24TV,28 мая 2020 г.,"В Москве с июня откроются парки, ярмарки выходного дня и спортобъекты ",
ИА REGNUM,@IA_REGNUM,28 мая 2020 г.,Так ли страшен COVID-19 и кто заинтересован в панике? – все новости https://regnum.ru/news/2919961,
bekmurat,@btd4580000,1 авг. 2020 г.,"Олин сказал, что, когда они узнали о положительном результате, школа ввела свой ""положительный протокол тестирования Covid-19"".” Операция ""Скорость деформации"", многомиллиардная программа федерального правительства по вакцинам Covid-19,",
РЕН ТВ | Новости,@rentvchannel,1 авг. 2020 г.,"Глава РФПИ Кирилл Дмитриев сообщил, что Россия исторически лидировала в разработках препаратов, поэтому Москве удалось столь быстро разработать вакцину от COVID-19",
bekmurat,@btd4580000,1 авг. 2020 г.,"Поскольку школьный округ Индианы вернулся к очному обучению в первый день 2020-21 учебного года, один из его учеников дал положительный результат на Covid-19, согласно письму, отправленному родителям.",
bekmurat,@btd4580000,1 авг. 2020 г.,в четверг вечером во время коронавирусного таунхолла Си-эн-эн. Студенческие тесты дали положительный результат на Covid-19 в первый день учебы в Индиане От Ребекки Рисс из Си-эн-эн.,
healthqlab,@igor4med,1 авг. 2020 г.,"США заплатит Sanofi и GSK 2,1 млрд долларов за вакцину от COVID-19 http://healthqlab.ru/ssha-zaplatit-sanofi-i-gsk-2-1-mlrd-dollarov-za-vakcinu-ot-covid-19/…",
Новости Находки,@newsnhkpk,1 авг. 2020 г.,Новая статья (По итогам месяца количество выявленных заболевших COVID-19 в Приморье выросло на 58%) была опубликована на сайте Находка News - ,
beautyMari,@beautyMarionly,1 авг. 2020 г.,"Что в обществе?  ""Ослабили бдительность"": кого винят в новых вспышках COVID-19",
Архнет.Инфо,@ArhnetInfo,1 авг. 2020 г.,#АрхнетИнфо,
Наш город Тюмень,@nashgorod,1 авг. 2020 г.,В Тобольске на 28 июля врачи зарегистрировали пятерых зараженных COVID-19 ,
Rostyslav,@Iam_Rostyslav,1 авг. 2020 г.,ВОЗ зафиксировала новый рекорд по числу случаев COVID-19 за сутки: https://rbc.ru/society/01/08/2020/5f2489819a79471d91370281… за допомогою ,
Пенза Взгляд / ПВ,@penzavzglyad,1 авг. 2020 г.,"Новые случаи COVID-19, исчезновение женщины и выплаты на детей: новости за 31 июля ",
72.RU,@72ru,1 авг. 2020 г.,"Эффективна на 100%: у всех добровольцев, испытавших российскую вакцину от COVID-19, выработался иммунитет ",
ProZakon24.ru,@Prozakon24Ru,1 авг. 2020 г.,В Узбекистане выявили рекордное число случаев COVID-19 за сутки https://goo.gl/fb/Qfv72J,
jan,@chirkove,1 авг. 2020 г.,"Срочно! Еще 390 случаев заражения Covid-19 за сутки https://news.mail.ru/incident/42795265/?social=tw… Жертвами COVID-19 стали 778 в РМ, а где остальная статистика по смертности в Молдове? - народ хочет знать, сколько умирает людей от остальных болезней? - или не умирает?",
Jenkers News (RUS),@jenkers_ru,1 авг. 2020 г.,В Москве за сутки умерли еще 13 пациентов с #коронавирус'ом http://jenke.rs/s9F0Ah,#коронавирус
Префектура ЗАО г. Москвы,@IfIc6CQAFmvx86S,1 авг. 2020 г.,Эксперт: начало периода отпусков может влиять на статистические колебания заболеваемости COVID-19 https://na-zapade-mos.ru/ehkspert-nachalo-perioda-otpuskov-mozhet-vlijat-na-statisticheskie-kolebanija-zabolevaemosti-cov19…,
ЭХО Киева,@_echoua_,1 авг. 2020 г.,Украина разделена на 4 зоны по уровню распространения COVID-19. В «красную» зону попало 3 региона: Центральная комиссия по вопросам техногенно-экологической безопасности и чрезвычайных ситуаций на заседании определила регионы по уровню распространения… http://dlvr.it/Rcmd8l,
ACHTUNG PARTISANEN,@EuropeanFront,1 авг. 2020 г.,Российская вакцина от COVID-19 сформировала иммунитет у 100% добровольцев https://achtungpartisanen.ru/rossiyskaya-vaktsina-ot-covid-19-sformirovala-immunitet-u-100-dobrovoltsev/…,
jan,@chirkove,1 авг. 2020 г.,Когда ждать вторую волну COVID-19: что заявили в Минздраве https://news.mail.ru/incident/42797697/?social=tw… капец - врут и глазом не моргают,
rgrus,@rgrus,1 авг. 2020 г.,Российская вакцина от COVID-19 сформировала иммунитет у 100% добровольцев https://rg.ru/2020/08/01/rossijskaia-vakcina-ot-covid-19-sformirovala-immunitet-u-100-dobrovolcev.html…,
EHB,@novostivlru,1 авг. 2020 г.,Вьетнам сообщил о самом большом скачке случаев COVID-19,
Дмитрий,@dumuch_new,1 авг. 2020 г.,Белокуриха приглашает переболевших COVID-19 восстановить здоровье https://goo.gl/fb/VrgBsN,
KP.RU - Казань,@kazanKPru,1 авг. 2020 г.,"Коронавирус в Ульяновской области, последние новости на 1 августа 2020 года: заразились еще 110 человек",
KP.RU - Ставрополь,@StavKP,1 авг. 2020 г.,"Коронавирус в Ставропольском крае, ситуация на 1 августа 2020: COVID-19 заразились еще свыше ста человек",
Just curious,@JustCuriousOlga,1 авг. 2020 г.,"Главный исполнительный директор Siemens Digital Industries, член правления «Сименс АГ» Клаус Хельмрих убежден: чтобы адаптироваться к текущим условиям, промышленным компаниям необходимы #цифровизация и #автоматизация. #Сименс #Covid19",#covid #covid19
Дмитрий Бузанов,@advocate_trump,1 авг. 2020 г.,В ответ ,
Leon Rozenberg,@LRozenberg,1 авг. 2020 г.,Поддерживаемые Китаем хакеры 'нацелены на вакцинную фирму COVID-19 Moderna' - Наука и здоровье - http://Haaretz.com,
Vad,@Vad20053011,1 авг. 2020 г.,Про детей и covid-19. Они  получают его и переносят с разными вариациями: с симптоматикой и без.,
Pressapro.ru,@pressapro,1 авг. 2020 г.,В Москве за сутки скончались 13 пациентов с COVID-19 https://pressapro.ru/obshhestvo/v-moskve-za-sytki-skonchalis-13-pacientov-s-covid-19/…,
Максим Сотков,@msotkov,1 авг. 2020 г.,Горячая линия COVID-19 предлагает сдавать анализ за свой счёт.,
Слава українському Криму,@nvAiOL22V3rq6oG,1 авг. 2020 г.,COVID-19 в Крыму: новый виток заболеваемости (обновлено),
Replaye RU,@ReplayeRu,1 авг. 2020 г.,В Москве за сутки умерли 13 пациентов с коронавирусом,
ИА REGNUM,@IA_REGNUM,1 авг. 2020 г.,В Марокко выявили больше тысячи случаев COVID-19 за сутки https://regnum.ru/news/3025868,
Подпись неразборчива,@Nabludatelnits1,1 авг. 2020 г.,В ответ ,
Janakinatha,@vybuwifymuv,1 авг. 2020 г.,Более 10 миллионов человек в мире излечились от COVID-19,
Эдуард Темнов,@ETemnov,1 авг. 2020 г.,Рекомендации Роспотребнадзора России по профилактике новой коронавирусной инфекции (COVID-19) в образовательных организациях высшего образования от 29 июля 2020 года № МР 3.1/2.1.0205-20 https://bit.ly/3glj4og,
Новини України/Новости Украины,@InfoProstirUA,1 авг. 2020 г.,Во Франции ухудшается ситуация с коронавирусом,
Мир 24,@Mir24TV,1 авг. 2020 г.,Глава РФПИ: У всех добровольцев появился иммунитет к коронавирусу https://mir24.tv/news/16420238/u-vseh-dobrovolcev-poyavilsya-immunitet-k-koronavirusu… #коронавирус #вакцина #иммунитет #ковид #РФПИ #здоровье #новости #мир24,#коронавирус #ковид
Радио Стыдоба,@RadioStydoba,1 авг. 2020 г.,"Более 70% американцев негативно относятся к Китаю, так как возлагают на него вину за распространение COVID-19 в мире. Такие результаты показал опрос Pew Research Center.",
Queen of Motorsport,@Queen_of_Motor,1 авг. 2020 г.,http://queen-of-motorsport.ru/formula-1/peres-edinstvennyj-polozhitelnyj-sluchaj-na-covid-19-posle-poslednego-etapa-testirovaniya…,
Радмир,@Radmir_R11,1 авг. 2020 г.,https://airfunding.net/project/65023?hl=ru&utm_source=twitter&utm_medium=social&utm_campaign=project_first_shares&utm_content=project_id_65023… #AirtrippFunding #Помощь во время COVID-19 через ,
Кавказский Узел,@caucasianknot,1 авг. 2020 г.,Армения вернула лидерство по приросту зараженных COVID-19 на Южном Кавказе https://ift.tt/315g7lw,
ZdravMedInfo,@ZdravMedInfo,1 авг. 2020 г.,Путин ускорил процедуру выдачи страховых выплат заболевшим COVID-19 медикам http://zdravmedinfo.com/mednews.html?article=154247…,
Финансовое обозрение,@finoboz,1 авг. 2020 г.,Госкомиссия по ТЭБ и ЧС установила новые уровни эпидемической опасности распространения COVID-19 в Украине - https://finoboz.net/politics/goskomissiya-po-teb-i-chs-ustanovila-novye-urovni-epidemicheskoj-opasnosti-rasprostraneniya-covid-19-v-ukraine/… #финансы #Украина #бизнес,
ИА REGNUM,@IA_REGNUM,1 авг. 2020 г.,Жертвами COVID-19 в ЮАР стали более 8000 человек https://regnum.ru/news/3025865,
Новини України/Новости Украины,@InfoProstirUA,1 авг. 2020 г.,"Трамп заявил, что Китай должен заплатить за пандемию",
ZdravMedInfo,@ZdravMedInfo,1 авг. 2020 г.,Выпущены клинические рекомендации по COVID-19 при ревматических заболеваниях http://zdravmedinfo.com/mednews.html?article=154301…,
CZNews.info,@CzNewsInfo,1 авг. 2020 г.,Евросоюз зарезервировал 300 миллионов доз вакцины от covid-19,
Известия,@izvestia_ru,1 авг. 2020 г.,,
ProMED_RUS,@ProMED_RUS,1 авг. 2020 г.,"PRO/RUS> COVID-19 (на 22:50 МСК 17.644.825 случаев, 679.925 умерших, 11.037.056 выздоровевших) (178)  http://zpr.io/H7SgH",
ZdravMedInfo,@ZdravMedInfo,1 авг. 2020 г.,Минздрав адаптировал рекомендации по реабилитации пациентов после COVID-19 http://zdravmedinfo.com/mednews.html?article=154214…,
Новости Украины,@uatime_net,1 авг. 2020 г.,Госкомиссия по ТЭБ и ЧС установила новые уровни эпидемической опасности распространения COVID-19 в Украине - https://uatime.net/world/goskomissiya-po-teb-i-chs-ustanovila-novye-urovni-epidemicheskoj-opasnosti-rasprostraneniya-covid-19-v-ukraine/… #Киев #Новости #Украина,
ZdravMedInfo,@ZdravMedInfo,1 авг. 2020 г.,AstraZeneca не будет отвечать за побочные эффекты вакцины против COVID-19 в большинстве стран http://zdravmedinfo.com/pharmnews.html?article=154279…,
Крым.Реалии,@krymrealii,1 авг. 2020 г.,Россия ограничивает передвижение крымчан под предлогом борьбы с COVID-19 – посол Украины в ОБСЕ https://bit.ly/2PcNX2n,
ZdravMedInfo,@ZdravMedInfo,1 авг. 2020 г.,Johnson & Johnson начинает КИ вакцины-кандидата против COVID-19 http://zdravmedinfo.com/pharmnews.html?article=154267…,
Інша Україна,@inshaua,1 авг. 2020 г.,Трамп о пандемии COVID: Китай должен заплатить,
ZdravMedInfo,@ZdravMedInfo,1 авг. 2020 г.,Эксперт: стоимость вакцины от COVID-19 будет зависеть от технологии производства http://zdravmedinfo.com/pharmnews.html?article=154259…,
Тимурио,@m_stafff,1 авг. 2020 г.,"А вы думали , что маска не помогает ? Держите пруф и соблюдайте дистанцию! #аниме #наруто #коронавирус #COVIDー19",#covid #коронавирус
Городской портал Kursk.com,@kurskcom,1 авг. 2020 г.,В горбольнице №2 Белгорода уберут койки для зараженных COVID-19  http://kursk.com/news/blackearth/52304.html…,
Aban lam,@Abama2011,1 авг. 2020 г.,"Врачи считают, что вторая волна COVID-19 может совпасть с сезонной вспышкой ОРВИ https://smart-smi.ru/single/94670",
Лилия Мукулова,@Lilia_Mukulova,1 авг. 2020 г.,Ольга Вилар - Укрощение нага. Читать на Литмаркет https://litmarket.ru/books/ukroshchenie-naga… #наги #приключения #сложные отношения,
Лилия Мукулова,@Lilia_Mukulova,1 авг. 2020 г.,Ольга Вилар - Видящая ангелов. Читать на Литмаркет https://litmarket.ru/books/vidyashchaya-angelov-1… #приключения #фэнтези #адекватная героиня,
Московский Комсомолец,@mkomsomolets,1 авг. 2020 г.,В Москве за сутки скончались 13 пациентов с COVID-19,
Высота102,@v102ru,1 авг. 2020 г.,Волгоградский «Ротор» перед матчем с «Зенитом» сыграет с ЦСКА https://v102.ru/news/90107.html #волгоградновости #Волгоград_Арена #футбол #Ротор #Зенит #ЦСКА #стадион #тренировка #команда #Тинькофф #коронавирус #сидимдома #болельщики #Высота102 #Волгоград #В102,#коронавирус
Лилия Мукулова,@Lilia_Mukulova,1 авг. 2020 г.,Ольга Вилар - Путь домой. Читать на Литмаркет https://litmarket.ru/books/put-domoy #рабство #сложные отношения #эльфы,
Друзья космонавтики,@tostarstogether,1 авг. 2020 г.,"Это будет первый пуск из Французской Гвианы с февраля 2020 года. Пусковой оператор Arianespace , осуществляющий пуски ракет-носителей #Ariane5, #СоюзСТ и #Vega, был вынужден в марте приостановить работы в Гвианском космическом центре #GSC из-за пандемии коронавируса #COVID19.",#covid #covid19
Press__MO,@Press__MO,1 авг. 2020 г.,"С этого года у фестиваля появился оргкомитет и худрук - народный артист СССР Юрий Башмет. Под его руководством концертная программа стартовала бесплатным концертом  для врачей и волонтеров, работавших в больными COVID-19.",
Лилия Мукулова,@Lilia_Mukulova,1 авг. 2020 г.,Ольга Вилар - В лабиринтах сумерек. Читать на Литмаркет https://litmarket.ru/books/v-labirintah-sumerek… #постапокалипсис #приключения #сильный ,
Лилия Мукулова,@Lilia_Mukulova,1 авг. 2020 г.,Ольга Вилар - Истинная для эльфа. Читать на Литмаркет https://litmarket.ru/books/istinnaya-dlya-elfa… #истинная пара #эльфы #путешествия и бои,
Телеканал 360°,@360tv,1 авг. 2020 г.,В Москве за сутки скончались 13 пациентов с коронавирусом. Общее число жертв COVID-19 в столице достигло 4473.,
Церковное Обозрение,@church_review,1 авг. 2020 г.,"Украина готовится к массовой вакцинации от COVID-19, – Минздрав",
BALTNEWS,@BALTNEWS1,1 авг. 2020 г.,"""Браво"" правительству! Литва стала лидером Прибалтики по числу заражений Covid-19",
ppfood,@ppfoodru,1 авг. 2020 г.,"Почему рост заболевших Covid-19 растет, но смертность падает? - http://ppfood.ru/pochemu-rost-zabolevshix-covid-19-rastet-no-smertnost-padaet/…",
Лилия Мукулова,@Lilia_Mukulova,1 авг. 2020 г.,Ольга Вилар - Одиссея морского дракона. Читать на Литмаркет https://litmarket.ru/books/odisseya-morskogo-drakona… #драконы #морские приключения #мертвецы,
Смотри HD online,@Kino_HD_Online,1 авг. 2020 г.,COVID-19 бьет рекорды: почти 300 тысяч заболевших за сутки,
Жаб Лягушинский,@7777777ok,1 авг. 2020 г.,31 июля 2020 г.,
presshub_ru,@presshubeu,1 авг. 2020 г.,Великобритании  [iz]  #Перес пропустит Гран-при #великобритании из-за заражения COVID-19 http://presshub.eu/ru/articledetails.aspx?aid=6968059&pg=1#presshubeu…,
Cобытия дня в России,@smnewsru,1 авг. 2020 г.,"Доктор Мясников дал 7 рекомендаций, как избежать тяжелого течения коронавируса",
Maxim Okulov,@Kiprinform,1 авг. 2020 г.,Covid-19: 25 новых случаев https://ift.tt/3gjcBtY,
vokasrok,@igorigor346350,1 авг. 2020 г.,Опасная суета: почему преждевременная вакцинация от COVID-19 может закончиться катастрофой,
Хуйовый Краснодон,@xy_krasnodon,1 авг. 2020 г.,"""Украину по уровню распространения COVID-19 поделили на красную, желтую, оранжевую и зеленую зоны""",
Лилия Мукулова,@Lilia_Mukulova,1 авг. 2020 г.,Ольга Вилар - Баланс на Грани. Читать на Литмаркет https://litmarket.ru/books/balans-na-grani… #некромант #сильный герой #ангелы и демоны,
Igor Mylnikov,@IgorMylnikov,1 авг. 2020 г.,Минпросвещения не выявило случаев заражения COVID-19 в детских лагерях – Культура Отдых – http://Neva.Today http://rviv.ly/hDPZqU,
ОстроВ,@ostro_v,1 авг. 2020 г.,"Украину по уровню распространения COVID-19 поделили на красную, желтую, оранжевую и зеленую зоныhttp://ostro.org/general/economics/news/594679/…",
РБК,@ru_rbc,1 авг. 2020 г.,"Власти Великобритании в связи со второй волной COVID-19 объявили, что пока не будут смягчать эпидемиологический режим. Так поступили еще несколько стран. Какая ситуация в мире — в обзоре РБК https://rbc.ru/politics/31/07/2020/5f23f9e89a7947dc9411e29d?utm_source=tw_rbc…",
Лилия Мукулова,@Lilia_Mukulova,1 авг. 2020 г.,Ольга Вилар - Не ангелы-2. Читать на Литмаркет https://litmarket.ru/books/ne-angely-2… #ангелы и демоны #драконы #приключения,
Punk2441,@punk2441,1 авг. 2020 г.,Бегущие по лезвию... #covid19 #sarscov2,#covid #covid19
Интерфакс-Украина,@interfaxua,1 авг. 2020 г.,Последствия пандемии COVID-19 будут ощущаться десятилетиями - глава ВОЗ,
Лилия Мукулова,@Lilia_Mukulova,1 авг. 2020 г.,Ольга Вилар - Падший ангел. Читать на Литмаркет https://litmarket.ru/books/padshiy-angel-1… #сильный герой #ангелы и демоны #харизматичный герой,
Dynamomania.com,@dynamomania_com,1 авг. 2020 г.,Динамовцы сдали очередные тесты на COVID-19. Уже известны результаты http://dynamomania.com/news/541260-dinamovcy-sdali-ocherednye-testy-na-covid-19-uzhe-izvestny-rezultaty…,
ℌαςτ℮ньҡα,@HACTEHACCCP,1 авг. 2020 г.,В Польше серьёзно возросло количество новых случаев заражения COVID-19,
ℌαςτ℮ньҡα,@HACTEHACCCP,1 авг. 2020 г.,США и Россия подписали соглашение о совместном изучении COVID-19,
topnewsrussia.ru,@TopNewsRussiaa,1 авг. 2020 г.,В Польше серьёзно возросло количество новых случаев заражения COVID-19,
topnewsrussia.ru,@TopNewsRussiaa,1 авг. 2020 г.,США и Россия подписали соглашение о совместном изучении COVID-19,
ßለα∂นʍนթ Пуτนн Ⅻ,@putin_ww,1 авг. 2020 г.,В Польше серьёзно возросло количество новых случаев заражения COVID-19,
ßለα∂นʍนթ Пуτนн Ⅻ,@putin_ww,1 авг. 2020 г.,США и Россия подписали соглашение о совместном изучении COVID-19,
Церковное Обозрение,@church_review,1 авг. 2020 г.,Во время хаджа не выявлено случаев заражения COVID-19,
ZpTown - война в Украине,@ZpTown,1 авг. 2020 г.,Украину поделили на 4 зоны карантина - Запорожье пока в зеленой зоне - https://zptown.zp.ua/archives/613856 - #COVID19,#covid #covid19
ТАСС,@tass_agency,1 авг. 2020 г.,,
5.ua: новости Украины и мира,@5channel_ru,1 авг. 2020 г.,В ВСУ растёт суточный уровень заболеваемости COVID-19 – подробности,
Абаимов Анатолий Николаевич-#риэлторЕкб-#Окункуль!,@2018prezidentru,1 авг. 2020 г.,100 лет назад #испанка убила 50-100 млн #жизнь,
Cобытия дня в России,@smnewsru,1 авг. 2020 г.,Собчак призвала прикрыть рты от второй волны коронавируса,
Прынц Персии,@ValeryRubin,1 авг. 2020 г.,"Иностранцев, прибывающих в Россию, пустят в страну только при наличии справки об отсутствии  у них нового коронавируса COVID-19. Причем предъявлять эту справку надо будет при посадке в самолет, в том числе и при транзите через территорию РФ.",
101auto,@101autoru,1 авг. 2020 г.,Прокуратура Приморского края помогла медработникам с COVID-19 получить выплаты https://101auto.ru/prokyratyra-primorskogo-kraia-pomogla-medrabotnikam-s-covid-19-polychit-vyplaty.html…,
Aban lam,@Abama2011,1 авг. 2020 г.,"В Петербурге за сутки на COVID-19 проверили 17 тысяч человек, на карантине – 1,4 тысячи https://smart-smi.ru/single/94610",
scientist,@scientistkz,1 авг. 2020 г.,"Заработки женщин обычно ниже, чем у мужчин. В парах для женщин имел бы смысл оставаться дома с детьми, потому что они зарабатывают меньше.https://scientist.kz/2020/08/01/zhenschiny-chasche-muzhchin-teryali-rabotu-iz-za-pandemii/… #пандемия #коронавирус #COVIDVIC19",#covid #коронавирус #пандемия
Aban lam,@Abama2011,1 авг. 2020 г.,"COVID-19 забрал жизни еще 42 петербуржцев, заболели 275 человек https://smart-smi.ru/single/94608",
24topkz,@24topkz,1 авг. 2020 г.,Для въезда в РФ потребуется справка об отсутствии COVID-19 при посадке в самолет https://24top.kz/incidents/dlja-vezda-v-rf-potrebuetsja-spravka-ob-otsutstvii-covid-19-pri-posadke-v-samolet/…,
𝒦𝓈𝓎𝓊𝓈𝒽𝒶,@GxTZ7l5FjXbJg2t,1 авг. 2020 г.,Тэ Тэ Тэ Тэхён~иии#bts #나의여름_채원아_생일축하해 #레드벨벳_6주년_대댕큐 #COVID19,#covid #covid19
Jenkers News (RUS),@jenkers_ru,1 авг. 2020 г.,Тест на #COVID-19 одного из игроков Сакраменто дал неубедительный результат http://jenke.rs/r7J3Wx,#covid #covid-19
Новости Луганска,@NewsLugansk,1 авг. 2020 г.,На КПВВ в Станице Луганской с 1 августа будут требовать карантин со смартфоном или тестирование на COVID-19 https://ift.tt/3hXx3B0,
Наша Газета - все об Ирландии по-русски,@russianireland,1 авг. 2020 г.,Тревожный всплеск новых случаев COVID-19 зафиксирован впервые с 22 мая https://russianireland.com/trevozhnyj-vsplesk-novyh-sluchaev-covid-19-zafiksirovan-vpervye-s-22-maja/?utm_source=rss&utm_medium=rss&utm_campaign=trevozhnyj-vsplesk-novyh-sluchaev-covid-19-zafiksirovan-vpervye-s-22-maja…,
Kyiv44ua,@kyiv44ua,1 авг. 2020 г.,В Киеве объявили зеленый уровень опасности COVID-19,
Акимова Екатерина,@AkimovaKa,1 авг. 2020 г.,В ответ ,
Мой Киев,@MyKiev_net,1 авг. 2020 г.,В Киеве зафиксировали 110 новых случаев заболевания COVID-19 - https://mykiev.net/kiev-news/v-kieve-zafiksirovali-110-novyx-sluchaev-zabolevaniya-covid-19-2/… #Киев #Новости #Украина,
Авторадио,@avtoradioru,1 авг. 2020 г.,Депутат МГД Лариса Картавцева: Тестирование на COVID-19 снижает риски заражения для горожан http://avtoradio.ru/news/uid/162601 #коронавирус,#коронавирус
Aban lam,@Abama2011,1 авг. 2020 г.,В Петербурге еще 275 человек заразились COVID-19 https://smart-smi.ru/single/94601,
Татьяна Ларина,@Tatidara,1 авг. 2020 г.,#Собак можно научить #вынюхивать #коронавирус,#коронавирус
Нефть,@oilru2016,1 авг. 2020 г.,"Цены на нефть могут показать медленное восстановление в этом году на фоне постепенного снятия ограничений из-за пандемии, но вторая волна COVID-19 может замедлить темпы восстановления, показал в пятницу опрос Рейтер.",
AVIARU,@AviaruNet,1 авг. 2020 г.,Аэрофлот скорректировал расписание рейсов в Великобританию и Турцию https://aex.ru/n215311 #Аэрофлот #Турция #Великобритания #Стамбул #Лондон #РФ #Анталья #Вирус #Коронавирус,#коронавирус
metahomo.eth,@ntexs_com,1 авг. 2020 г.,Ограничения по Covid-19 снизили уровень заболеваемости гриппом до рекордных показателей https://ntexs.com/2020/07/31/%d0%be%d0%b3%d1%80%d0%b0%d0%bd%d0%b8%d1%87%d0%b5%d0%bd%d0%b8%d1%8f-%d0%bf%d0%be-covid-19-%d1%81%d0%bd%d0%b8%d0%b7%d0%b8%d0%bb%d0%b8-%d1%83%d1%80%d0%be%d0%b2%d0%b5%d0%bd%d1%8c-%d0%b7%d0%b0%d0%b1-2/…,
Aban lam,@Abama2011,1 авг. 2020 г.,Будет трудно отличить: Врачи бьют тревогу из-за новой волны COVID-19 https://smart-smi.ru/single/94598,
БИЗНЕС Online,@Businessgazeta,1 авг. 2020 г.,"Потеря обоняния — один из самых распространенных симптомов коронавирусной инфекции: по разным данным, обоняние теряют от 22% до 68% пациентов с COVID-19.",
Natulewitsch,@Natulewitsch,1 авг. 2020 г.,В ответ ,
Тульские новости,@newstula,1 авг. 2020 г.,"Подкаст #81: уход прокурора, нехорошие цифры по летальности от COVID-19, маски до зимы и полицейские-герои",
Петербургский Дневник,@dnevnikspb,1 авг. 2020 г.,С 1 августа Россия открывает границу с Абхазией.,
Vyacheslav Ivanov,@Revier682,1 авг. 2020 г.,Заразившегося COVID-19 рэпера Элджея госпитализировали #новости #news #общество #происшествие  - https://regiondv.com/zarazivshegosya-covid-19-repera-eldzheya-gospitalizirovali/…,
Political News 2020,@arhipovoficial,1 авг. 2020 г.,"Сначала надо помогать своим гражданам, а потом лечить больных в других странах",
Buro 24/7,@buro24_7,1 авг. 2020 г.,При въезде в Австрию с 1 августа гражданам России обязательно предъявить отрицательный тест на COVID-19 и пройти десятидневный карантин.,
vokasrok,@igorigor346350,1 авг. 2020 г.,В ответ ,
ANADOLU AGENCY (RU),@aa_russian,1 авг. 2020 г.,#МинздравТурции В Турции от #COVID19 вылечились свыше 214 тыс человек http://v.aa.com.tr/1928600,#covid #covid19
